Link,DPRTMNT,RATE,DIFF,The recent rating,NUM
https://www.ratemyprofessors.com/professor/164358,Economics,3.7,4.2,,27
https://www.ratemyprofessors.com/professor/164359,Economics,4.3,2.6,,32
https://www.ratemyprofessors.com/professor/164360,Economics,4.5,3,,11
https://www.ratemyprofessors.com/professor/164361,Economics,4,2,,4
https://www.ratemyprofessors.com/professor/164362,Economics,4.4,4,,52
https://www.ratemyprofessors.com/professor/164363,Economics,5,3.5,,8
https://www.ratemyprofessors.com/professor/164364,Economics,3.1,3.6,,8
https://www.ratemyprofessors.com/professor/164365,Economics,4.5,3.5,,2
https://www.ratemyprofessors.com/professor/164366,Engineering,5,3.3,,4
https://www.ratemyprofessors.com/professor/164367,Engineering,4.1,3.8,,4.1
https://www.ratemyprofessors.com/professor/164368,Engineering,1.3,3.5,,2
https://www.ratemyprofessors.com/professor/164369,Engineering,3.1,3.3,,20
https://www.ratemyprofessors.com/professor/2637464,Environmental Science,5,2.3,,3
https://www.ratemyprofessors.com/professor/3008588,Environmental Science,0,0,,0
https://www.ratemyprofessors.com/professor/975865,Environmental Science,3.9,2.3,,12
https://www.ratemyprofessors.com/professor/2660234,History,4.3,3.7,,3
https://www.ratemyprofessors.com/professor/2941041,History,0,0,,0
https://www.ratemyprofessors.com/professor/1795552,History,4.8,2.3,,19
https://www.ratemyprofessors.com/professor/1499323,History,4.9,1.8,,6
https://www.ratemyprofessors.com/professor/120727,History,3.1,3.5,,64
https://www.ratemyprofessors.com/professor/780621,History,4.9,2.4,,23
https://www.ratemyprofessors.com/professor/914380,History,4.3,3.1,,15
https://www.ratemyprofessors.com/professor/1900818,History,4.5,3,,5
https://www.ratemyprofessors.com/professor/162580,History,2,4.3,,42
https://www.ratemyprofessors.com/professor/162137,History,4.3,3.5,,51
https://www.ratemyprofessors.com/professor/96754,Languages,3.9,2.5,,42
https://www.ratemyprofessors.com/professor/230577,Languages,4.3,2.7,,18
https://www.ratemyprofessors.com/professor/184253,Languages,3.1,2.5,,17
https://www.ratemyprofessors.com/professor/181917,Languages,4.6,2.7,,16
https://www.ratemyprofessors.com/professor/2249818,Modern Languages,4.5,2.5,,4
https://www.ratemyprofessors.com/professor/2081643,Modern Languages,5,1,,3
https://www.ratemyprofessors.com/professor/2826320,Modern Languages,2.6,4,,5
https://www.ratemyprofessors.com/professor/1725333,Modern Languages,4.4,3.2,,5
https://www.ratemyprofessors.com/professor/977799,Modern Languages,3.9,2.9,,11
https://www.ratemyprofessors.com/professor/1353711,Modern Languages,4.8,1.8,,4
https://www.ratemyprofessors.com/professor/1723562,Modern Languages,2.6,2.8,,6
https://www.ratemyprofessors.com/professor/2090818,Modern Languages,5,2.3,,3
https://www.ratemyprofessors.com/professor/2778666,Modern Languages,5,2.5,,2
https://www.ratemyprofessors.com/professor/2871827,Women's Studies,0,0,,0
https://www.ratemyprofessors.com/professor/2761180,Women's Studies,0,0,,0
https://www.ratemyprofessors.com/professor/2974515,Theatre & Dance,5,2.7,,3
https://www.ratemyprofessors.com/professor/1198200,Theatre & Dance,4.7,1.3,,10
https://www.ratemyprofessors.com/professor/2947019,Theatre & Dance,4,1.7,,3
https://www.ratemyprofessors.com/professor/3046416,Theatre & Dance,0,0,,0
https://www.ratemyprofessors.com/professor/1787556,Sociology,4.7,2.3,,3
https://www.ratemyprofessors.com/professor/201304,Sociology,2.8,3.8,,35
https://www.ratemyprofessors.com/professor/1891389,Sociology,3.9,2.1,,11
https://www.ratemyprofessors.com/professor/809943,Neuroscience,4.5,2.8,,8
https://www.ratemyprofessors.com/professor/2854521,Neuroscience,0,0,,0
https://www.ratemyprofessors.com/professor/2400587,Neuroscience,4,4.4,,5
https://www.ratemyprofessors.com/professor/726599,Music,3.6,2.3,,12
https://www.ratemyprofessors.com/professor/2019846,Music,1,3,,1
https://www.ratemyprofessors.com/professor/192764,Music,2.9,2.2,,14
https://www.ratemyprofessors.com/professor/181315,Music,2.6,4.3,,42
https://www.ratemyprofessors.com/professor/1669545,Music,3.9,2.7,,6
https://www.ratemyprofessors.com/professor/2771006,Music,0,0,,0
https://www.ratemyprofessors.com/professor/162585,Philosophy,4.6,2.9,,32
https://www.ratemyprofessors.com/professor/162586,Philosophy,4,2.7,,26
https://www.ratemyprofessors.com/professor/1732516,Philosophy,3.6,3.3,,13
